,date,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,road_name,full_road_name,latitude,longitude
0,02-06-2022,1529,2,1,2,1,4,27,46,82,46,53,49,34,35,39,62,68,60,36,15,13,6,10,1,Irrigation Way,"Irrigation Way, East of Widgelli Settlers Road",-34.332764,146.145615
1,02-06-2022,142,36,30,315,497,239,271,287,401,351,353,368,335,301,299,246,267,223,227,183,163,209,146,187,Pacific Highway,"Pacific Highway, West of Four Mile Lane",-33.71885,151.112745
2,02-06-2022,117,142,113,99,43,266,557,405,336,264,367,312,242,318,262,311,291,264,152,130,168,123,130,149,Pacific Highway,"Pacific Highway, South of Martins Lane",-33.71885,151.112745
3,02-06-2022,4,4,7,3,20,53,71,65,62,73,76,85,107,110,84,107,108,93,41,32,30,21,15,3,Jerrys Plains Road,"Jerrys Plains Road, East of Edderton Road",-32.453426,150.849686
4,02-06-2022,49,41,50,53,41,87,162,232,328,262,203,262,224,218,213,296,228,208,126,113,69,72,117,56,Mitchell Highway,"Mitchell Highway, North of Favell Road",-33.362549,149.177856
5,02-06-2022,20,48,25,37,44,95,212,315,360,311,327,361,336,345,399,425,516,517,322,162,129,73,66,69,Mitchell Highway,"Mitchell Highway, North of Favell Road",-33.362549,149.177856
6,02-06-2022,7,7,4,5,10,9,20,36,48,52,54,54,50,65,63,62,74,39,50,22,26,24,20,12,Newell Highway,"Newell Highway, East of Pine Hill Road",-34.738258,146.578354
7,02-06-2022,5,4,6,8,2,26,36,85,150,143,122,101,89,87,93,100,136,102,69,39,43,26,17,14,Olympic Highway,"Olympic Highway, North of Mary Gilmore Road",-35.019356,147.417313
8,02-06-2022,4,1,3,4,5,7,41,71,126,120,111,97,86,71,78,97,112,66,57,23,20,15,9,3,Olympic Highway,"Olympic Highway, North of Race Creek Road",-34.414322,148.248459
9,02-06-2022,4,2,6,1,1,9,20,51,59,68,70,51,59,59,56,60,67,73,32,31,11,15,7,8,Murringo Road,"Murringo Road, West of Kenyu Road",-34.434212,148.712891
10,02-06-2022,18,9,13,16,15,20,49,59,84,79,71,64,59,61,79,89,113,76,44,31,27,24,16,28,Olympic Highway,"Olympic Highway, North of Calool Lane",-35.61998,147.044113
11,02-06-2022,2,5,4,6,8,36,67,78,103,60,55,38,53,60,55,70,55,61,28,14,9,10,10,10,River Road,"River Road, South of Cross Street",-35.987396,146.621841
12,02-06-2022,6,4,11,6,5,15,19,51,60,43,57,45,48,50,54,62,56,58,32,25,12,12,14,16,Goldfields Way,"Goldfields Way, North of Kitchener Road",-34.43811,147.529999
13,02-06-2022,35,17,14,18,32,77,209,380,574,347,402,446,488,510,525,581,607,670,325,291,220,177,108,42,Wodonga Place,"Wodonga Place, North of Hume Street",-36.083645,146.909882
14,02-06-2022,4,11,5,5,15,72,132,265,473,243,191,228,203,211,190,259,239,208,136,70,64,43,20,21,Sturt Highway,"Sturt Highway, West of Edward Street",-35.115742,147.338547
15,02-06-2022,4,10,12,12,22,80,176,349,724,428,373,360,324,333,352,480,449,396,282,168,167,99,49,25,Bourke Street,"Bourke Street, North of Fernleigh Road",-35.131641,147.353195
16,02-06-2022,30,15,13,10,21,33,102,175,292,385,455,465,510,494,527,612,726,689,413,268,191,180,70,47,Urana Road,"Urana Road, North of Griffith Road",-36.050468,146.932236
17,02-06-2022,9,5,5,2,7,10,54,106,173,198,207,191,245,255,225,328,427,495,184,122,101,86,44,22,Sturt Highway,"Sturt Highway, West of Edward Street",-35.115742,147.338547
18,02-06-2022,13,8,4,8,10,20,44,72,92,95,84,68,61,61,71,75,71,61,55,25,25,16,21,12,Sturt Highway,"Sturt Highway, East of Keens Road",-34.290379,142.29097
19,02-06-2022,10,13,6,6,5,11,24,28,28,40,44,32,48,35,31,37,45,22,22,15,14,15,13,8,Sturt Highway,"Sturt Highway, West of Moama Street",-34.520679,144.833786
20,02-06-2022,23,12,3,9,13,21,87,171,173,198,154,176,143,167,188,227,248,263,191,97,97,45,48,29,Sturt Highway,"Sturt Highway, West of Carramar Drive",-34.174644,142.196579
21,02-06-2022,2,4,2,3,1,4,14,20,18,37,34,23,22,20,17,23,19,18,8,6,6,6,3,3,Mid Western Highway,"Mid Western Highway, East of Yankee Crossing",-34.497395,144.916763
22,02-06-2022,8,5,7,8,17,95,173,286,257,255,324,354,314,377,511,642,628,322,249,171,147,67,39,36,Bourke Street,"Bourke Street, North of Fernleigh Road",-35.131641,147.353195
23,02-06-2022,4,4,10,10,12,17,41,65,74,87,99,70,93,84,91,95,114,92,65,27,31,22,21,15,Olympic Highway,"Olympic Highway, North of Calool Lane",-35.61998,147.044113
24,02-06-2022,5,2,2,2,4,5,69,100,153,130,112,107,101,118,114,135,124,150,86,37,47,47,33,23,Murray Valley Highway,"Murray Valley Highway, North of River Road",-34.575878,142.76651
25,02-06-2022,13,11,13,9,15,77,201,297,457,412,423,420,381,393,374,429,456,352,231,199,130,82,49,28,Urana Road,"Urana Road, North of Griffith Road",-36.050468,146.932236
26,02-06-2022,17,6,5,5,9,14,75,120,218,170,208,216,245,249,259,281,325,380,194,139,122,78,41,35,Smollett Street,"Smollett Street, West of Wodonga Place",-36.082058,146.909347
27,02-06-2022,41,25,34,47,79,74,159,177,210,210,285,259,301,272,307,326,261,239,176,138,100,85,48,49,Great Western Highway,"Great Western Highway, West of Glanmire Lane",-33.425926,149.691452
28,02-06-2022,48,13,12,19,7,34,90,162,202,209,182,173,152,201,195,375,273,214,99,54,39,35,41,49,Castlereagh Highway,"Castlereagh Highway, North of Gemalong Close",-33.419147,150.102066
29,02-06-2022,8,16,2,6,5,10,16,9,28,26,48,29,37,34,28,45,39,39,25,15,12,9,11,7,Sturt Highway,"Sturt Highway, East of Boon Street",-34.519596,144.859116
30,02-06-2022,24,11,11,11,27,83,152,141,134,136,119,120,115,141,151,151,153,144,87,59,38,42,16,13,Sturt Highway,"Sturt Highway, East of Tumbarumba Road",-35.161312,147.514038
31,02-06-2022,9,17,7,10,6,6,11,23,24,42,38,52,61,44,34,45,34,33,23,21,18,20,16,8,Sturt Highway,"Sturt Highway, West of Moama Street",-34.520679,144.833786
32,02-06-2022,27,33,21,19,22,13,30,21,73,56,87,96,73,70,95,56,41,39,30,17,27,48,18,16,Great Western Highway,"Great Western Highway, West of Glanmire Lane",-33.425926,149.691452
33,02-06-2022,3,2,1,2,5,5,8,11,17,28,22,28,21,32,31,36,31,16,11,5,5,5,3,4,Sturt Highway,"Sturt Highway, South of Duryea Street",-34.666584,143.562012
34,02-06-2022,59,46,48,96,118,170,315,493,749,653,598,607,604,594,667,678,604,522,370,300,201,170,127,62,Great Western Highway,"Great Western Highway, South of Somerset Street",-33.678875,150.282959
35,02-06-2022,5,10,4,8,13,42,90,114,75,83,100,90,118,101,108,100,92,85,60,39,22,25,14,5,Jerrys Plains Road,"Jerrys Plains Road, East of Edderton Road",-32.453426,150.849686
36,02-06-2022,52,17,8,13,8,2,11,40,20,42,42,60,47,45,50,114,57,56,14,8,10,17,38,7,Pacific Highway,"Pacific Highway, North of Glen Ewan Road",-31.408945,152.821823
37,02-06-2022,7,10,4,9,15,23,53,59,74,106,98,86,81,107,99,111,69,63,40,29,42,29,22,14,Kamilaroi Highway,"Kamilaroi Highway, North of Tuppiari Road",-30.382442,149.795624
38,02-06-2022,8,3,2,5,6,16,40,56,73,62,57,69,61,77,70,105,84,80,50,28,25,18,16,8,Olympic Highway,"Olympic Highway, North of Race Creek Road",-34.414322,148.248459
39,02-06-2022,15,10,12,11,6,13,21,38,40,50,47,62,45,57,45,64,64,46,26,17,20,14,16,10,Newell Highway,"Newell Highway, East of Pine Hill Road",-34.738258,146.578354
40,02-06-2022,5,1,3,3,2,7,29,48,63,43,39,44,51,62,69,89,109,110,43,23,20,15,15,15,River Road,"River Road, South of Cross Street",-35.987396,146.621841
41,02-06-2022,11,5,3,7,12,39,118,228,399,246,255,230,258,231,249,269,275,269,135,83,71,35,34,14,Smollett Street,"Smollett Street, West of Wodonga Place",-36.082058,146.909347
42,02-06-2022,30,9,13,13,13,38,149,314,696,523,562,592,547,552,588,648,668,826,438,291,194,131,95,56,Wodonga Place,"Wodonga Place, North of Hume Street",-36.083645,146.909882
43,02-06-2022,3,2,1,3,2,2,5,7,14,20,24,15,24,24,27,27,23,25,17,8,11,9,7,5,Mid Western Highway,"Mid Western Highway, East of Yankee Crossing",-34.497395,144.916763
44,02-06-2022,14,17,21,18,17,25,55,93,142,128,121,126,94,126,148,196,173,215,128,74,39,31,38,22,Sturt Highway,"Sturt Highway, East of Tumbarumba Road",-35.161312,147.514038
45,02-06-2022,38,24,13,17,22,41,139,199,235,251,195,227,229,233,237,256,272,283,210,135,120,92,71,43,Sturt Highway,"Sturt Highway, South of Caravan Park Road",-34.183842,142.172943
46,02-06-2022,31,26,13,22,29,55,137,321,526,482,389,388,397,397,416,580,558,478,292,195,131,86,59,52,Sturt Highway,"Sturt Highway, South of Caravan Park Road",-34.183842,142.172943
47,02-06-2022,4,2,2,2,5,17,61,119,176,137,119,77,76,88,93,101,88,90,47,18,23,13,7,5,Riverina Highway,"Riverina Highway, West of Hills End",-36.060165,146.837402
48,02-06-2022,4,1,4,1,1,2,10,13,4,3,3,5,1,4,3,8,4,5,7,1,2,2,2,8,Riverina Highway,"Riverina Highway, North of Honour Avenue",-35.94038,146.413803
49,02-06-2022,1,2,2,4,6,27,71,120,138,93,101,70,74,63,60,82,86,87,52,15,28,21,14,2,Olympic Highway,"Olympic Highway, East of Mangoplah Road",-35.271656,147.121231
50,02-06-2022,3,2,3,3,3,34,64,76,132,103,125,136,130,133,141,177,181,172,129,108,60,31,18,25,Bridge Road,"Bridge Road, South of Edward Street",-36.003658,146.393921
51,02-06-2022,8,5,7,5,5,8,15,25,31,49,36,28,46,49,42,51,42,29,18,15,19,9,15,14,Colin Knott Drive,"Colin Knott Drive, North of Travers Street",-35.095001,147.347794
52,02-06-2022,2,7,9,3,9,6,18,18,16,28,22,22,23,14,22,22,29,31,18,12,17,13,13,12,Olympic Highway,"Olympic Highway, East of Mangoplah Road",-35.271656,147.121231
53,02-06-2022,27,13,10,23,45,160,195,370,846,470,374,344,421,465,379,471,576,681,390,258,188,222,92,59,Colin Knott Drive,"Colin Knott Drive, North of Travers Street",-35.095001,147.347794
54,02-06-2022,4,2,4,1,1,1,5,3,4,6,2,5,3,6,6,2,5,3,5,1,2,1,1,2,Federation Way,"Federation Way, South of Richmond Street",-35.648388,146.306885
55,02-06-2022,13,5,10,6,4,5,7,12,25,22,20,20,24,24,18,27,26,16,16,25,17,13,15,11,Newell Highway,"Newell Highway, South of Dean Street",-35.813709,145.558685
56,02-06-2022,7,6,4,3,5,11,6,15,14,9,27,17,24,31,18,25,15,31,27,12,29,19,16,16,Murray Street,"Murray Street, South of Townsend Street",-35.647587,145.574127
57,02-06-2022,14,8,7,9,4,6,6,10,18,18,22,14,20,19,18,28,16,15,12,20,14,14,14,11,Murray Street,"Murray Street, South of Townsend Street",-35.647587,145.574127
58,02-06-2022,1,2,1,2,2,8,19,35,52,73,77,113,91,100,105,151,123,124,83,36,36,27,13,8,Newell Highway,"Newell Highway, South of Dean Street",-35.813709,145.558685
59,02-06-2022,25,9,6,6,19,44,137,317,516,494,533,696,698,634,612,720,829,963,607,314,237,239,114,41,Cobb Highway,"Cobb Highway, South of Blair Street",-36.12035,144.754028
60,02-06-2022,3,3,3,2,4,19,48,87,139,77,56,52,58,50,73,60,132,77,38,23,10,12,8,2,Riverina Highway,"Riverina Highway, West of Ramp Lane",-36.088005,147.036148
61,02-06-2022,21,18,10,8,12,52,141,296,637,397,444,421,482,427,485,634,928,723,354,233,183,85,80,79,Colin Knott Drive,"Colin Knott Drive, North of Travers Street",-35.095001,147.347794
62,02-06-2022,9,13,8,9,9,9,27,64,54,45,45,46,39,42,38,40,41,31,24,16,12,9,8,11,Colin Knott Drive,"Colin Knott Drive, North of Travers Street",-35.095001,147.347794
63,02-06-2022,6,15,8,10,14,12,20,22,14,16,14,24,16,16,24,14,18,16,14,14,12,8,8,12,Olympic Highway,"Olympic Highway, East of Mangoplah Road",-35.271656,147.121231
64,02-06-2022,2,2,1,3,6,29,63,88,117,109,130,143,133,170,180,211,242,210,134,78,46,54,41,2,Bridge Road,"Bridge Road, South of Edward Street",-36.003658,146.393921
65,02-06-2022,4,1,4,3,11,17,35,75,103,93,116,92,64,81,97,103,80,77,53,20,30,13,6,5,Newell Highway,"Newell Highway, South of Dean Street",-35.813709,145.558685
66,02-06-2022,6,6,6,2,3,11,8,13,12,11,25,18,21,32,18,13,14,20,25,14,22,15,15,12,Newell Highway,"Newell Highway, South of Dean Street",-35.813709,145.558685
67,02-06-2022,1529,1529,2,2,2,9,21,31,44,34,38,32,24,32,28,44,32,22,20,6,1,4,4,2,Batlow Road,"Batlow Road, South of Herrings Road",-35.495914,148.151977
68,02-06-2022,1529,1529,1,1,2,4,13,24,38,22,25,26,25,25,39,34,40,41,28,10,2,5,3,2,Burley Griffin Way,"Burley Griffin Way, West of Mannings Road",-34.278732,146.551498
69,02-06-2022,1529,1529,1,2,2,4,14,41,39,38,31,43,48,37,52,59,47,68,30,20,11,7,3,4,Riverina Highway,"Riverina Highway, South of Rose Street",-35.537163,144.995316
70,02-06-2022,1,1529,2,2,4,16,50,40,74,57,54,59,70,64,73,77,65,94,47,30,15,12,10,1,Riverina Highway,"Riverina Highway, West of Hopefield Road",-35.946468,146.42334
71,02-06-2022,6,1529,1,2,4,6,21,41,52,69,80,69,49,66,76,91,93,75,35,21,36,10,3,3,Murray Street,"Murray Street, South of Townsend Street",-35.647587,145.574127
72,02-06-2022,1529,2,1529,1,3,9,9,44,70,54,63,88,80,72,75,80,94,73,47,30,20,9,13,3,Murray Street,"Murray Street, South of Townsend Street",-35.647587,145.574127
73,02-06-2022,1529,2,1529,1,1,1,4,4,5,7,8,11,6,8,6,5,14,12,7,7,3,2,4,5,Burley Griffin Way,"Burley Griffin Way, West of Mannings Road",-34.278732,146.551498
74,02-06-2022,7,2,1529,2,8,8,12,33,62,57,51,43,51,49,53,75,71,49,36,32,25,12,8,4,Goldfields Way,"Goldfields Way, North of Kitchener Road",-34.43811,147.529999
75,02-06-2022,5,3,1529,4,5,8,23,69,103,103,104,118,140,113,122,154,167,181,116,57,51,43,9,11,Murray Valley Highway,"Murray Valley Highway, North of River Road",-34.575878,142.76651
76,02-06-2022,3,1,1529,3,6,29,37,78,92,95,84,78,78,76,86,72,78,70,30,21,11,14,7,3,Kings Highway,"Kings Highway, North of Braidwood Street",-35.646713,150.139496
77,02-06-2022,8,2,1529,3,4,6,40,70,49,46,44,37,55,56,61,80,103,126,83,45,36,41,14,5,Riverina Highway,"Riverina Highway, West of Ramp Lane",-36.088005,147.036148
78,02-06-2022,1,1529,1529,2,3,11,18,30,47,39,30,54,25,36,57,57,52,57,28,16,10,11,3,5,Olympic Highway,"Olympic Highway, South of Silo Road",-34.519371,148.164276
79,02-06-2022,1,1529,1529,4,3,5,25,22,29,18,28,23,30,36,32,31,49,41,18,13,6,15,7,2,Batlow Road,"Batlow Road, South of Herrings Road",-35.495914,148.151977
80,02-06-2022,1,1529,1529,6,2,8,17,45,46,36,27,24,24,33,26,38,31,43,15,19,11,8,4,4,Kidman Way,"Kidman Way, West of Sturt Highway",-34.599117,145.983612
81,02-06-2022,1,1529,1529,1,2,22,64,95,134,68,57,43,45,34,39,45,39,26,23,12,11,10,4,1529,Riverina Highway,"Riverina Highway, East of Ramp Lane",-36.090073,147.058472
82,02-06-2022,3,1,2,1529,2,18,34,105,173,98,59,73,59,58,72,91,104,132,81,39,32,26,13,5,Holbrook Road,"Holbrook Road, North of Rowan Road",-35.19231,147.328308
83,02-06-2022,1,3,2,1529,4,4,5,20,18,29,25,21,23,25,30,14,25,13,13,6,7,8,2,1,Sturt Highway,"Sturt Highway, South of Duryea Street",-34.666584,143.562012
84,02-06-2022,2,4,3,1529,4,3,20,44,79,66,76,61,85,69,103,117,155,159,110,37,37,19,17,9,Olympic Highway,"Olympic Highway, East of Mangoplah Road",-35.271656,147.121231
85,02-06-2022,2,1,1,1529,1,2,2,10,8,16,14,13,16,6,8,21,8,7,11,3,9,5,4,6,Kidman Way,"Kidman Way, West of Sturt Highway",-34.599117,145.983612
86,02-06-2022,3,2,5,1529,8,5,12,28,44,45,50,54,49,47,42,52,37,38,19,17,7,5,6,5,Cobb Highway,"Cobb Highway, South of Blair Street",-36.12035,144.754028
87,02-06-2022,1529,1,1,1529,2,3,19,43,58,41,38,19,23,33,23,34,29,34,13,12,8,2,5,1529,Cowabbie Street,"Cowabbie Street, South of Kindra Crescent",-34.808632,147.1978
88,02-06-2022,1529,1529,1,1529,4,1,4,4,7,7,9,14,11,12,7,9,7,4,6,3,1,1529,1,2,Irrigation Way,"Irrigation Way, East of Widgelli Settlers Road",-34.332764,146.145615
89,02-06-2022,1,1529,1,1529,2,10,25,33,80,72,59,50,47,33,41,53,46,42,17,7,6,6,5,1529,Henry Lawson Way,"Henry Lawson Way, West of Chillingworks Road",-34.26141,148.267013
90,02-06-2022,1529,1,1529,1529,1,5,4,13,22,28,14,18,23,22,13,16,23,14,16,9,3,3,1,1,Kidman Way,"Kidman Way, South of Dirrung Road",-33.623749,145.53096
91,02-06-2022,1529,2,1529,1529,1,2,13,14,24,36,37,34,26,32,34,44,57,38,19,10,10,16,3,2,Kidman Way,"Kidman Way, West of Sturt Highway",-34.599117,145.983612
92,02-06-2022,1,1,1529,1529,1,2,20,33,55,57,60,49,43,42,50,46,56,43,19,11,4,6,3,2,Olympic Highway,"Olympic Highway, South of Silo Road",-34.519371,148.164276
93,02-06-2022,2,1,1529,1529,1,2,10,27,22,18,18,30,19,19,27,26,26,22,26,9,11,5,8,4,Moulamein Road,"Moulamein Road, South of Barham Road",-35.580086,144.185059
94,02-06-2022,2,2,1529,1529,14,16,33,71,59,50,81,65,82,88,112,127,174,162,77,46,39,36,9,12,Riverina Highway,"Riverina Highway, West of Hills End",-36.060165,146.837402
95,02-06-2022,6,1,1529,1529,2,3,1,13,27,27,29,33,43,44,49,76,101,124,81,34,34,36,10,5,Riverina Highway,"Riverina Highway, East of Ramp Lane",-36.090073,147.058472
96,02-06-2022,1529,1,1529,1529,1,4,14,18,30,15,17,24,22,21,24,31,32,60,29,2,8,7,3,1529,Riverina Highway,"Riverina Highway, North of Honour Avenue",-35.94038,146.413803
97,02-06-2022,1529,1529,1529,1529,2,1,5,8,10,6,7,3,2,7,5,11,6,4,2,1,1,1,2,1,Riverina Highway,"Riverina Highway, West of Hills End",-36.060165,146.837402
98,02-06-2022,1529,1529,1529,1529,2,1,2,13,8,4,7,4,4,6,10,7,2,2,2,3,5,2,1,3,Riverina Highway,"Riverina Highway, South of Rose Street",-35.537163,144.995316
99,02-06-2022,1529,1529,1529,1529,2,9,16,27,34,32,34,21,26,20,15,27,28,26,26,9,14,10,3,2,Burley Griffin Way,"Burley Griffin Way, West of Mannings Road",-34.278732,146.551498
100,02-06-2022,1,1529,1529,1529,1,8,13,27,38,34,35,49,58,53,52,64,72,86,42,24,19,11,8,1,Henry Lawson Way,"Henry Lawson Way, West of Chillingworks Road",-34.26141,148.267013
101,02-06-2022,3,1529,1529,1529,2,13,41,52,31,40,46,38,52,57,56,77,69,56,33,16,25,9,7,5,Irrigation Way,"Irrigation Way, East of Widgelli Settlers Road",-34.332764,146.145615
102,02-06-2022,1,1529,1529,1529,2,2,14,15,34,39,21,19,27,24,37,26,27,28,7,10,20,6,5,1,Riverina Highway,"Riverina Highway, North of Honour Avenue",-35.94038,146.413803
103,02-06-2022,2,1,2,3,1529,6,35,71,72,59,58,55,69,64,89,118,143,165,112,68,44,40,27,9,Holbrook Road,"Holbrook Road, North of Rowan Road",-35.19231,147.328308
