,date,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,road_name,full_road_name,latitude,longitude
0,05-06-2022,32,28,54,34,25,46,59,130,207,264,342,368,363,360,379,371,339,209,187,183,172,155,175,84,Pacific Highway,"Pacific Highway, South of Martins Lane",-33.826232,151.199164
1,05-06-2022,5,2,8,1,5,12,20,48,38,40,78,100,93,105,124,104,94,90,58,41,38,17,4,8,Jerrys Plains Road,"Jerrys Plains Road, East of Edderton Road",-32.453426,150.849686
2,05-06-2022,6,1537,5,1,5,18,14,18,16,41,71,97,100,121,107,113,106,78,50,43,22,20,18,5,Jerrys Plains Road,"Jerrys Plains Road, East of Edderton Road",-32.453426,150.849686
3,05-06-2022,2,1,1537,1537,2,1537,6,11,28,46,31,51,37,28,33,23,24,14,7,8,6,6,1537,1,Pacific Highway,"Pacific Highway, North of Glen Ewan Road",-33.826232,151.199164
4,05-06-2022,29,19,10,11,9,26,50,77,185,236,285,326,337,355,441,377,326,239,148,93,87,88,45,44,Mitchell Highway,"Mitchell Highway, North of Favell Road",-33.362549,149.177856
5,05-06-2022,2,6,2,1,2,2,7,19,21,60,108,88,90,79,82,105,85,66,50,22,23,17,6,6,Olympic Highway,"Olympic Highway, North of Race Creek Road",-34.414322,148.248459
6,05-06-2022,9,1,1,1,10,1,19,21,54,53,76,54,57,52,61,59,41,46,35,14,13,12,12,8,Kamilaroi Highway,"Kamilaroi Highway, North of Tuppiari Road",-30.382442,149.795624
7,05-06-2022,8,1,3,4,2,6,6,14,34,79,80,81,92,97,88,118,125,105,89,37,33,17,12,6,Olympic Highway,"Olympic Highway, North of Mary Gilmore Road",-35.019356,147.417313
8,05-06-2022,8,9,11,10,2,5,10,17,34,65,97,91,89,84,91,99,96,97,42,45,23,19,4,3,Holbrook Road,"Holbrook Road, North of Rowan Road",-35.19231,147.328308
9,05-06-2022,41,32,24,26,18,19,54,61,129,249,341,402,375,286,248,272,248,254,177,98,73,51,33,23,Bourke Street,"Bourke Street, North of Fernleigh Road",-35.131641,147.353195
10,05-06-2022,6,6,2,5,4,8,9,15,40,64,66,71,67,74,74,82,96,80,64,36,31,23,10,9,Olympic Highway,"Olympic Highway, North of Calool Lane",-35.61998,147.044113
11,05-06-2022,24,11,14,2,1,25,33,48,113,142,128,134,171,174,193,203,235,210,166,117,72,76,56,31,Mitchell Highway,"Mitchell Highway, North of Favell Road",-33.362549,149.177856
12,05-06-2022,14,7,1,6,2,8,9,23,32,77,80,90,79,87,88,89,105,102,71,45,42,30,7,12,Olympic Highway,"Olympic Highway, North of Huon Street",-35.823685,146.993912
13,05-06-2022,54,46,33,24,13,16,19,59,88,191,252,376,408,365,351,358,322,300,221,153,106,56,34,22,Urana Road,"Urana Road, North of Griffith Road",-36.050468,146.932236
14,05-06-2022,37,17,17,12,1,3,14,28,46,75,119,195,177,206,190,200,174,174,107,64,54,35,27,23,Smollett Street,"Smollett Street, West of Wodonga Place",-36.082058,146.909347
15,05-06-2022,13,19,11,13,8,13,23,35,57,133,162,166,191,150,163,110,134,89,77,37,29,32,16,19,Sturt Highway,"Sturt Highway, West of Edward Street",-35.115742,147.338547
16,05-06-2022,25,11,12,15,10,6,10,11,33,77,126,161,164,181,189,147,166,122,81,65,59,29,28,19,Sturt Highway,"Sturt Highway, West of Edward Street",-35.115742,147.338547
17,05-06-2022,32,22,40,17,10,30,61,100,197,260,343,333,292,318,293,284,222,192,128,99,52,53,26,13,Bourke Street,"Bourke Street, North of Fernleigh Road",-35.131641,147.353195
18,05-06-2022,8,8,4,5,5,7,6,21,38,60,81,72,58,65,84,81,86,81,38,39,33,21,21,12,Olympic Highway,"Olympic Highway, North of Calool Lane",-35.61998,147.044113
19,05-06-2022,3,5,4,3,4,3,1,10,13,24,31,30,31,21,33,24,25,40,30,18,14,8,7,9,Sturt Highway,"Sturt Highway, East of Boon Street",-34.519596,144.859116
20,05-06-2022,10,1,1,2,3,1,10,30,56,45,51,70,68,77,76,65,69,67,33,22,19,19,7,8,Olympic Highway,"Olympic Highway, North of Race Creek Road",-34.414322,148.248459
21,05-06-2022,10,7,6,9,3,8,8,37,67,138,180,183,184,207,159,185,169,116,63,54,59,39,29,5,Honour Avenue,"Honour Avenue, South of Short Street",-35.994083,146.391357
22,05-06-2022,30,11,8,13,13,13,22,54,69,175,232,190,157,182,167,174,165,133,98,49,37,33,16,14,Smollett Street,"Smollett Street, West of Wodonga Place",-36.082058,146.909347
23,05-06-2022,5,5,4,5,3,6,10,22,23,51,52,64,52,51,54,51,47,63,38,16,25,20,6,1,Newell Highway,"Newell Highway, East of Pine Hill Road",-34.414216,146.865297
24,05-06-2022,5,10,5,6,3,6,14,19,38,52,57,59,65,69,48,67,47,31,21,14,17,14,10,5,Newell Highway,"Newell Highway, East of Pine Hill Road",-34.414216,146.865297
25,05-06-2022,2,1,2,1,2,7,7,18,22,38,48,47,48,57,62,53,62,35,34,19,11,7,7,3,Goldfields Way,"Goldfields Way, North of Kitchener Road",-34.43811,147.529999
26,05-06-2022,3,2,3,4,4,7,4,17,37,36,57,39,48,65,46,77,65,53,40,18,11,9,3,3,Goldfields Way,"Goldfields Way, North of Kitchener Road",-34.43811,147.529999
27,05-06-2022,11,6,3,8,4,2,7,13,36,47,78,84,94,88,114,107,75,77,47,31,29,16,8,1,Holbrook Road,"Holbrook Road, North of Rowan Road",-35.19231,147.328308
28,05-06-2022,5,4,3,3,4,3,1,11,22,50,42,48,42,31,35,40,20,11,23,15,7,8,8,7,Sturt Highway,"Sturt Highway, West of Moama Street",-34.520679,144.833786
29,05-06-2022,21,17,17,14,7,13,24,34,109,153,191,155,188,154,171,192,172,141,101,49,59,50,29,22,Sturt Highway,"Sturt Highway, West of Carramar Drive",-34.174644,142.196579
30,05-06-2022,3,3,2,3,1,14,3,13,31,44,51,79,116,86,99,48,53,36,19,7,12,9,3,1,River Road,"River Road, South of Cross Street",-35.987396,146.621841
31,05-06-2022,11,12,4,6,1,41,58,78,84,81,114,95,121,143,140,161,133,114,89,56,52,42,64,12,Castlereagh Highway,"Castlereagh Highway, North of Gemalong Close",-33.419147,150.102066
32,05-06-2022,3,1,4,10,2,9,18,27,71,89,102,75,52,59,61,71,57,44,27,15,16,23,7,11,Sturt Highway,"Sturt Highway, East of Keens Road",-34.290379,142.29097
33,05-06-2022,7,7,6,5,2,10,17,24,64,143,253,283,303,329,357,308,223,165,133,76,66,68,27,38,Great Western Highway,"Great Western Highway, West of Glanmire Lane",-33.425926,149.691452
34,05-06-2022,64,62,28,22,19,19,42,56,98,218,307,442,418,395,406,404,365,312,212,103,88,64,49,35,Wodonga Place,"Wodonga Place, North of Hume Street",-36.083645,146.909882
35,05-06-2022,12,8,4,3,6,4,12,18,42,80,123,119,105,116,136,156,181,204,141,92,72,56,26,23,Sturt Highway,"Sturt Highway, East of Tumbarumba Road",-35.161312,147.514038
36,05-06-2022,51,42,30,25,18,15,40,68,140,183,214,222,213,215,216,201,218,187,141,88,102,75,50,32,Sturt Highway,"Sturt Highway, South of Caravan Park Road",-34.183842,142.172943
37,05-06-2022,8,10,4,6,2,10,37,36,74,124,143,143,177,201,196,247,197,193,161,63,44,31,15,15,Castlereagh Highway,"Castlereagh Highway, North of Gemalong Close",-33.419147,150.102066
38,05-06-2022,66,18,12,33,21,28,52,76,168,228,324,325,353,343,400,355,325,231,212,222,194,176,138,74,Pacific Highway,"Pacific Highway, West of Four Mile Lane",-33.826232,151.199164
39,05-06-2022,4,2,3,1,4,11,14,37,58,128,175,212,238,247,289,309,265,142,82,41,18,14,8,6,Kings Highway,"Kings Highway, North of Braidwood Street",-35.646713,150.139496
40,05-06-2022,10,10,5,5,6,8,7,26,48,58,62,69,71,81,107,106,107,113,59,44,32,25,25,11,Olympic Highway,"Olympic Highway, North of Huon Street",-35.823685,146.993912
41,05-06-2022,21,12,4,4,7,8,26,36,67,122,154,170,169,191,158,176,165,162,82,62,43,26,12,4,Honour Avenue,"Honour Avenue, South of Short Street",-35.994083,146.391357
42,05-06-2022,39,18,22,16,11,15,39,63,105,216,255,315,313,319,257,200,244,217,129,89,71,34,33,17,Urana Road,"Urana Road, North of Griffith Road",-36.050468,146.932236
43,05-06-2022,110,76,44,23,27,23,41,63,99,226,294,357,383,390,394,396,316,222,144,134,129,96,42,42,Wodonga Place,"Wodonga Place, North of Hume Street",-36.083645,146.909882
44,05-06-2022,5,2,4,1,1,6,8,8,14,34,38,29,36,40,41,55,34,25,20,21,17,12,8,8,Sturt Highway,"Sturt Highway, West of Moama Street",-34.520679,144.833786
45,05-06-2022,26,6,6,4,1,6,15,34,61,111,164,98,100,92,87,105,106,101,49,36,28,26,33,20,Murray Valley Highway,"Murray Valley Highway, North of River Road",-34.575878,142.76651
46,05-06-2022,51,25,27,24,24,41,92,158,273,486,607,679,763,805,974,1074,947,721,518,349,222,165,126,55,Great Western Highway,"Great Western Highway, South of Somerset Street",-33.678875,150.282959
47,05-06-2022,12,6,7,5,8,23,29,53,80,104,121,154,163,162,222,167,145,108,73,69,45,28,19,10,Sturt Highway,"Sturt Highway, East of Tumbarumba Road",-35.161312,147.514038
48,05-06-2022,70,38,19,24,11,9,23,57,152,245,286,431,376,319,335,332,377,330,218,140,117,73,60,31,Sturt Highway,"Sturt Highway, South of Caravan Park Road",-34.183842,142.172943
49,05-06-2022,16,7,1,3,1,4,9,13,18,31,46,59,77,94,117,84,98,55,38,27,31,17,12,3,Riverina Highway,"Riverina Highway, West of Ramp Lane",-36.088005,147.036148
50,05-06-2022,57,23,26,28,14,18,24,70,102,264,316,311,339,327,330,316,346,341,250,132,93,94,45,35,Colin Knott Drive,"Colin Knott Drive, North of Travers Street",-35.095001,147.347794
51,05-06-2022,4,1,1,1,3,4,1,3,4,5,13,9,5,12,9,10,13,22,12,20,20,8,8,4,Olympic Highway,"Olympic Highway, East of Mangoplah Road",-35.271656,147.121231
52,05-06-2022,18,9,5,3,5,9,24,24,82,145,180,193,167,159,132,177,149,132,94,56,31,18,10,4,Federation Avenue,"Federation Avenue, South of Edward Street",-36.003418,146.382752
53,05-06-2022,26,18,10,8,6,4,7,19,47,56,95,118,120,168,128,136,115,124,57,45,30,24,16,6,Urana Road,"Urana Road, South of Hueske Road",-35.991581,146.898407
54,05-06-2022,4,3,1,1,2,4,12,14,18,51,54,94,85,71,86,96,106,77,37,17,19,16,7,4,Riverina Highway,"Riverina Highway, West of Ramp Lane",-36.088005,147.036148
55,05-06-2022,16,3,7,5,6,8,14,30,53,109,144,181,155,161,133,141,93,113,68,45,32,26,15,3,Bridge Road,"Bridge Road, South of Edward Street",-36.003658,146.393921
56,05-06-2022,12,6,6,6,6,12,21,27,36,89,110,135,142,107,130,107,122,104,65,33,30,17,8,5,Bridge Road,"Bridge Road, South of Edward Street",-36.003658,146.393921
57,05-06-2022,24,10,7,4,10,8,13,19,73,113,131,180,203,160,147,157,175,149,81,60,46,33,16,7,Federation Avenue,"Federation Avenue, South of Edward Street",-36.003418,146.382752
58,05-06-2022,4,2,2,1,6,6,2,2,4,6,6,7,6,2,4,11,7,3,4,4,2,2,3,8,Olympic Highway,"Olympic Highway, East of Mangoplah Road",-35.271656,147.121231
59,05-06-2022,1,2,1,2,1,4,5,6,21,31,49,55,48,43,46,48,30,17,13,8,3,4,7,1,Riverina Highway,"Riverina Highway, South of Rose Street",-35.537163,144.995316
60,05-06-2022,1,1,1,2,1,3,1,7,17,40,45,66,47,34,31,44,31,30,14,6,7,7,5,1,Riverina Highway,"Riverina Highway, South of Rose Street",-35.537163,144.995316
