,date,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,road_name,full_road_name,latitude,longitude
137,03-06-2022,3,4,1,1519,1519,4,1,3,7,5,10,2,7,8,12,7,9,5,6,1,1519,1519,3,1,Riverina Highway,"Riverina Highway, South of Rose Street",-35.537163,144.995316
138,03-06-2022,1,1519,1,1519,1519,1,1,2,11,8,6,4,6,7,10,9,5,2,1,1,1519,1519,1519,1519,Riverina Highway,"Riverina Highway, West of Hills End",-36.060165,146.837402
139,03-06-2022,2,2,1,2,2,1519,3,1,7,3,4,4,4,6,7,6,8,3,4,1519,5,4,2,2,Federation Way,"Federation Way, South of Richmond Street",-35.648388,146.306885
140,03-06-2022,1,1519,1519,1519,1,2,2,1519,7,4,2,6,3,3,4,4,4,3,1,1519,3,2,1,3,Moulamein Road,"Moulamein Road, South of Barham Road",-35.580086,144.185059
141,03-06-2022,1519,1519,1,1519,1,2,4,5,8,10,4,7,10,7,10,10,1,7,1,1519,1,3,1519,1,Irrigation Way,"Irrigation Way, East of Widgelli Settlers Road",-34.332764,146.145615
142,03-06-2022,1519,1519,1519,1519,1519,2,2,3,6,6,6,2,3,5,3,5,6,2,2,1519,1,1519,1519,1519,Cowabbie Street,"Cowabbie Street, South of Kindra Crescent",-34.808632,147.1978
143,03-06-2022,1519,1519,1519,1519,1519,1519,1,4,5,5,5,4,8,4,2,9,5,2,2,1519,1519,1,1519,1519,Riverina Highway,"Riverina Highway, West of Ramp Lane",-36.088005,147.036148
144,03-06-2022,1519,1519,1519,1519,1519,1,1,3,8,9,2,3,6,8,8,9,5,3,2,1519,1519,1519,1519,1,Olympic Highway,"Olympic Highway, South of Rosemont Road",-35.918716,147.001556
145,03-06-2022,1519,1519,1,1519,1519,2,3,4,2,5,1519,3,4,5,4,8,4,2,1,1519,1519,1519,1519,1519,Bridge Road,"Bridge Road, South of Edward Street",-36.003658,146.393921
146,03-06-2022,1519,1519,1519,1519,1519,1519,1,3,9,3,7,3,4,9,8,9,8,7,1519,1519,2,1519,1519,1519,Snowy Mountains Highway,"Snowy Mountains Highway, South of Boonderoo Road",-35.327759,148.23764
147,03-06-2022,1,1519,1519,1519,1519,1519,5,11,6,8,8,7,6,12,8,6,3,5,1519,1519,1,1519,1519,1519,Olympic Highway,"Olympic Highway, South of Rosemont Road",-35.918716,147.001556
148,03-06-2022,1519,1,1519,1519,1519,1,1519,2,2,1,3,1519,2,1,1,3,5,1519,1,1519,1,1,1,1,Jindera-Walla Walla Road,"Jindera-Walla Walla Road, South of Five Chain ...",-35.936092,146.886673
149,03-06-2022,1519,1519,1519,1519,1519,1519,1,4,2,3,3,2,2,3,1519,4,1,3,2,1519,3,1519,1,2,Cocketgedong Road,"Cocketgedong Road, West of Brougong Street",-35.333248,146.245651
150,03-06-2022,1519,1519,1519,1519,1519,1,1,1,4,1,1519,3,3,2,1519,1,1,4,1,1519,1519,1,1519,1519,Jindera-Walla Walla Road,"Jindera-Walla Walla Road, South of Five Chain ...",-35.936092,146.886673
151,03-06-2022,1,2,1519,1519,1519,2,2,6,4,6,3,6,6,3,1519,6,1,1,2,1519,1519,1519,1519,1519,Batlow Road,"Batlow Road, South of Herrings Road",-35.495914,148.151977
152,03-06-2022,1519,1,3,1519,1519,3,2,1,3,2,1,1,1,1519,1,1,1519,1519,1519,1519,1519,1519,1519,1519,Pretty Pine Road,"Pretty Pine Road, East of Gibbs Road",-35.415436,144.866715
153,03-06-2022,1519,1519,1519,1519,1519,1,1,3,6,1,2,2,3,5,1519,1,1519,1519,1519,1519,1519,1,1519,1519,Riverina Highway,"Riverina Highway, East of Ramp Lane",-36.090073,147.058472
154,03-06-2022,1,1,1519,1519,2,1519,1519,1519,1519,4,2,2,3,3,3,1519,2,1,1,3,1,2,1519,1519,Cobb Highway,"Cobb Highway, North of Pretty Pine Road",-35.407127,144.877975
155,03-06-2022,284,188,154,261,592,1944,3970,4943,4914,3700,3345,3297,3344,3611,4283,5253,5270,5008,3877,2092,1457,1311,1229,1519,Alfords Point Road,Alfords Point Road,-33.9991669,151.0239461
156,03-06-2022,13,8,9,26,64,178,301,559,427,304,269,277,284,277,370,428,443,383,268,124,99,80,54,49,Appin Road,Appin Road,-36.0807785,146.9164693
157,03-06-2022,150,75,47,81,148,522,1381,2119,2508,1873,1593,1,1694,1739,2107,2263,2505,2441,1965,1311,991,912,769,1519,Beecroft Road,Beecroft Road,-33.7447762,151.063747
158,03-06-2022,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1,1519,1519,Bells Line Of Road,Bells Line Of Road,-33.4981139,150.5120917
159,03-06-2022,233,123,94,113,219,780,2369,3100,3128,2757,2413,2438,2504,2486,2791,3388,3374,3409,2873,1614,1228,1175,1156,706,Burns Bay Road,Burns Bay Road,-33.8308944,151.1460024
160,03-06-2022,576,384,285,346,537,1320,2145,2359,2622,2314,2244,2330,2370,2461,2527,2691,2455,2614,2557,2177,1701,1583,1491,1222,Canterbury Road,Canterbury Road,-33.928408,151.076754
161,03-06-2022,334,211,160,140,166,614,1958,2714,2903,2332,2019,2108,2228,2373,2461,2794,2977,3075,2676,1736,1227,1217,1187,992,Eastern Distributor,Eastern Distributor,-33.8687285,151.2182763
162,03-06-2022,79,38,37,37,103,432,1424,2293,2415,2027,1976,2027,1975,2009,2338,2780,2465,2584,1988,1058,689,657,585,357,Eastern Valley Way,Eastern Valley Way,-33.805357,151.2091281
163,03-06-2022,493,340,188,178,205,492,1132,1407,1558,1402,1165,1299,1320,1296,1482,1688,1735,1755,1500,1263,1122,1079,1097,910,Enmore Road,Enmore Road,-33.900893,151.170147
164,03-06-2022,16,34,38,46,134,578,920,872,720,554,470,502,308,336,668,690,656,662,382,198,154,108,88,36,Heathcote Road,Heathcote Road,-34.010775,150.987103
165,03-06-2022,884,611,613,717,1193,2703,3584,3911,3775,3379,3233,3275,3302,3470,3449,3458,3813,3794,3964,3270,2505,2357,2241,1671,Hume Highway,Hume Highway,-34.8101946,148.6220238
166,03-06-2022,560,370,314,364,774,2472,4994,6286,6104,5466,5416,5410,5414,5720,6090,7208,6500,6666,5716,3582,2622,2432,2452,1608,King Georges Road,King Georges Road,-33.9179017,151.0655744
167,03-06-2022,200,129,116,208,359,1005,1921,1911,1965,1556,1460,1406,1412,1441,1524,1633,1820,1909,1936,1333,936,824,676,416,Liverpool Road,Liverpool Road,-33.88783,151.104525
168,03-06-2022,291,156,117,94,138,375,772,1337,1409,1440,1367,1411,1517,1574,1781,1765,1738,1833,1647,1245,1056,1167,1159,786,Epping Road,Epping Road,-33.7738718,151.0829987
169,03-06-2022,512,284,227,200,423,1312,3303,3644,3267,3212,3021,3235,3242,3007,3436,3469,3494,3349,3298,2490,1856,1825,1660,1433,Military Road,Military Road,-33.827962,151.230453
170,03-06-2022,36,16,10,6,18,181,773,1638,1783,1375,1341,1321,1480,1290,1458,1759,1689,1671,1147,563,391,363,263,142,Ourimbah Road,Ourimbah Road,-28.1758544,153.5233735
171,03-06-2022,862,556,420,391,601,1466,3210,3826,3813,3402,3314,3179,3403,3533,3843,3975,3999,3924,4058,3228,2566,2499,2658,2098,Parramatta Road,Parramatta Road,-33.835858,151.0231518
172,03-06-2022,188,232,193,254,186,446,1004,1618,2513,1405,715,848,937,1423,1251,1083,2530,2585,1428,1030,920,572,473,391,Princes Highway,Princes Highway,-35.1481469,139.2631777
173,03-06-2022,328,217,206,219,455,1447,3642,4223,3993,3672,3623,3539,3788,3944,4347,4620,4641,4073,3491,2146,1542,1475,1235,747,Ryde Road,Ryde Road,-33.760789,151.138069
174,03-06-2022,223,102,156,117,259,760,2214,2925,2969,2655,2345,2347,2496,2335,2740,2962,2823,2721,2629,1778,1400,1323,1322,1131,Syd Einfeld Drive,Syd Einfeld Drive,-33.8896097,151.2417828
175,03-06-2022,243,144,124,200,515,1858,3529,3993,4124,3496,3166,3267,3423,3487,3821,4624,5117,4599,3039,1865,1275,1307,1070,887,Taren Point Road,Taren Point Road,-34.0264058,151.1203396
