,date,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,road_name,full_road_name,latitude,longitude
0,04-06-2022,143,179,223,147,155,130,175,209,316,320,367,315,279,277,256,226,280,193,129,64,89,79,53,40,Pacific Highway,"Pacific Highway, West of Four Mile Lane",-33.741702,151.139018
1,04-06-2022,46,63,72,142,172,114,162,239,337,409,399,373,413,340,295,277,261,174,108,74,66,49,61,58,Pacific Highway,"Pacific Highway, South of Martins Lane",-33.741702,151.139018
2,04-06-2022,4,7,8,1506,7,18,36,21,47,71,87,89,103,93,82,69,50,53,40,10,9,12,11,13,Jerrys Plains Road,"Jerrys Plains Road, East of Edderton Road",-32.453426,150.849686
3,04-06-2022,3,2,1,3,7,12,31,64,89,101,100,109,109,97,111,114,123,79,50,24,13,6,5,6,Kings Highway,"Kings Highway, North of Braidwood Street",-35.646713,150.139496
4,04-06-2022,1,1,1506,5,1506,3,1,14,16,33,50,46,41,40,35,40,41,19,6,1,1,15,6,3,Pacific Highway,"Pacific Highway, North of Glen Ewan Road",-33.741702,151.139018
5,04-06-2022,11,4,11,10,1,15,33,59,45,52,55,83,57,45,45,45,29,48,21,17,8,12,17,5,Kamilaroi Highway,"Kamilaroi Highway, North of Tuppiari Road",-30.382442,149.795624
6,04-06-2022,45,26,27,20,26,50,107,152,211,306,386,359,384,377,325,291,319,210,157,79,80,75,57,32,Mitchell Highway,"Mitchell Highway, North of Favell Road",-33.362549,149.177856
7,04-06-2022,3,1,4,2,6,8,16,25,76,118,128,112,79,104,74,78,90,73,59,38,17,20,12,11,Olympic Highway,"Olympic Highway, North of Mary Gilmore Road",-35.019356,147.417313
8,04-06-2022,4,8,7,6,8,7,12,20,27,38,53,75,70,55,55,54,44,39,17,32,15,16,22,9,Goldfields Way,"Goldfields Way, North of Kitchener Road",-34.43811,147.529999
9,04-06-2022,11,1,3,6,4,7,14,24,96,126,117,100,107,99,97,89,114,121,76,41,22,29,22,22,Holbrook Road,"Holbrook Road, North of Rowan Road",-35.19231,147.328308
